TAZ,origins_eet,destinations_eet,origins_mc,destinations_mc
707.0,590,719,582,729
708.0,58,1189,56,1214
709.0,59,131,53,142
710.0,975,180,925,199
711.0,214,53,242,55
712.0,47,345,44,332
713.0,334,818,309,829
714.0,722,153,709,143
715.0,625,142,668,160
716.0,190,491,228,527
717.0,435,130,432,130
718.0,540,124,566,127
719.0,4,95,4,119
720.0,326,148,343,145
721.0,2046,432,2036,401
722.0,1526,358,1503,363
723.0,1682,555,1662,590
724.0,322,2185,370,2197
725.0,379,97,353,101
726.0,352,381,357,343
727.0,166,651,172,700
728.0,475,155,469,144
729.0,1460,496,1512,459
730.0,271,206,290,188
731.0,105,928,93,700
732.0,1482,1171,1612,1045
733.0,244,133,243,148
734.0,115,628,106,571
735.0,1985,435,2014,444
736.0,5,1,3,3
737.0,598,512,648,465
738.0,743,175,761,191
739.0,1422,304,1454,294
740.0,130,69,144,68
741.0,825,142,822,190
742.0,82,1924,98,1966
743.0,361,1347,346,1318
744.0,328,296,344,273
745.0,108,17,107,25
746.0,866,338,862,348
747.0,1036,195,987,177
748.0,257,53,250,50
749.0,10,1067,10,1024
750.0,1244,992,1189,939
751.0,1755,921,1714,793
752.0,354,1051,357,1041
753.0,23,421,29,381
754.0,301,792,314,818
755.0,688,1309,685,1311
756.0,957,1985,921,1948
757.0,831,307,859,502
758.0,205,56,204,60
759.0,1742,852,1659,879
760.0,8,102,7,126
761.0,1597,2795,1584,2853
762.0,38,1049,38,1001
763.0,307,578,327,581
764.0,1738,543,1764,531
765.0,1151,440,1173,445
766.0,1222,2897,1218,2888
767.0,1166,254,1238,270
768.0,491,129,508,119
769.0,8,234,7,241
770.0,991,520,1010,544
771.0,1542,370,1617,373
772.0,763,220,780,221
773.0,6,12,2,13
774.0,1218,275,1218,279
775.0,259,4318,265,4388
776.0,935,344,980,311
777.0,183,234,193,244
778.0,1324,569,1250,582
779.0,611,2037,567,2023
780.0,420,142,402,154
781.0,186,376,185,385
782.0,758,267,728,244
783.0,505,109,541,136
784.0,1653,2567,1607,2574
785.0,562,571,571,549
786.0,2447,2601,2493,2639
787.0,564,925,545,954
788.0,474,80,467,99
789.0,1136,1800,1208,1796
790.0,138,2312,121,2327
791.0,228,338,205,544
792.0,1273,1437,1292,1407
793.0,593,137,617,157
794.0,927,287,972,265
795.0,397,105,402,121
796.0,1087,389,1017,403
797.0,571,232,544,243
798.0,49,57,49,51
799.0,659,175,630,270
800.0,231,55,212,37
801.0,278,464,283,511
802.0,212,65,216,55
803.0,454,118,483,130
804.0,326,179,335,178
805.0,3733,2510,3629,2429
806.0,741,115,659,160
807.0,705,194,694,231
808.0,423,615,398,542
809.0,871,127,910,134
810.0,3112,2883,3119,2905
811.0,6258,1687,6280,1691
812.0,667,668,647,640
813.0,21,180,16,183
814.0,1162,298,1112,315
815.0,104,616,100,587
816.0,1179,505,1270,498
817.0,1069,258,1068,265
818.0,1149,245,1192,263
819.0,417,191,462,182
820.0,2000,1022,1872,942
821.0,1174,419,1134,406
822.0,986,362,1068,387
823.0,1173,401,1193,411
824.0,1006,2134,1045,2045
825.0,1854,625,1854,605
826.0,280,290,266,306
827.0,1705,8701,1664,8869
828.0,693,358,684,367
829.0,552,113,548,129
830.0,491,2129,517,2242
831.0,1229,1025,1159,1132
832.0,602,207,617,185
833.0,30,627,39,654
834.0,711,282,746,287
835.0,195,297,225,318
836.0,1570,662,1578,684
837.0,813,192,856,174
838.0,321,1461,392,1505
839.0,668,727,661,629
840.0,1740,1372,1740,1330
841.0,308,1306,291,1293
842.0,617,155,609,160
843.0,945,551,923,567
844.0,445,97,442,111
845.0,1448,458,1407,448
846.0,885,662,888,658
847.0,1554,1982,1520,1947
848.0,4,70,4,61
849.0,588,178,602,161
850.0,333,102,321,92
851.0,885,196,858,185
852.0,569,154,570,140
853.0,83,134,96,150
854.0,1128,2422,1136,2410
855.0,1407,499,1439,501
856.0,916,275,951,239
857.0,1278,1121,1254,1080
858.0,206,921,202,853
859.0,397,1585,389,1567
860.0,498,2046,514,2085
861.0,178,1839,185,1876
862.0,1798,344,1876,376
863.0,163,84,160,88
864.0,945,180,945,156
865.0,850,169,883,157
866.0,965,539,957,539
867.0,64,891,81,904
868.0,495,125,525,123
869.0,2289,643,2282,648
870.0,685,84,654,81
871.0,1054,274,1043,299
872.0,328,1407,328,1343
873.0,304,57,269,56
874.0,928,536,907,522
875.0,407,87,413,97
876.0,277,303,319,344
877.0,210,54,235,48
878.0,1022,388,1059,393
879.0,669,314,700,298
880.0,761,254,778,281
881.0,132,504,122,497
882.0,58,421,54,452
883.0,826,554,801,547
884.0,1995,2067,1977,2061
885.0,1824,696,1869,765
886.0,359,167,377,159
887.0,501,184,502,166
888.0,594,110,634,114
889.0,1526,716,1444,637
890.0,2120,2577,2123,2564
891.0,528,2777,545,2794
892.0,2232,1022,2167,974
893.0,396,80,390,57
894.0,921,225,883,195
895.0,750,468,759,472
896.0,78,252,95,287
897.0,427,209,428,223
898.0,114,2862,97,2896
899.0,218,78,239,87
900.0,1176,459,1117,466
901.0,1013,3036,1045,3231
902.0,424,82,420,71
903.0,17,354,23,345
904.0,480,105,524,185
905.0,930,154,871,151
906.0,386,92,383,94
907.0,3142,729,3192,779
908.0,1011,254,1066,265
909.0,4136,865,4123,1018
910.0,656,349,633,293
911.0,321,63,300,77
912.0,583,2294,582,2208
913.0,663,293,652,275
914.0,985,240,951,241
915.0,0,392,0,416
916.0,2649,542,2743,573
917.0,1855,569,1902,550
918.0,405,164,427,165
919.0,816,172,770,166
920.0,597,168,657,170
921.0,1099,272,1119,291
922.0,0,184,0,208
923.0,48,2053,50,2023
924.0,886,323,819,339
925.0,1624,2376,1585,2372
926.0,922,928,894,869
927.0,161,41,145,32
928.0,595,1626,541,1717
929.0,324,99,380,75
930.0,1787,493,1775,476
931.0,3653,1202,3653,1260
932.0,3189,739,3116,780
933.0,499,1086,543,1069
934.0,94,692,92,807
935.0,2823,2384,2778,2323
936.0,195,85,214,89
937.0,234,2002,218,2065
938.0,1102,2371,1131,2253
939.0,477,2502,465,2462
940.0,1,41,3,40
941.0,1277,404,1230,382
942.0,296,264,275,267
943.0,344,66,319,50
944.0,742,289,708,302
945.0,107,31,103,43
946.0,1421,359,1510,408
947.0,548,143,514,119
948.0,1408,423,1387,426
949.0,472,280,455,260
950.0,2337,826,2209,761
951.0,318,874,316,867
952.0,8710,4900,8890,4806
953.0,287,99,315,81
954.0,269,1145,237,1101
955.0,204,792,211,829
956.0,1189,368,1187,355
957.0,2657,1227,2612,1193
958.0,750,395,754,362
959.0,375,1430,385,1493
960.0,1397,401,1424,372
961.0,376,99,352,97
962.0,351,68,341,71
963.0,559,133,549,158
964.0,39,2,47,10
965.0,407,144,420,139
966.0,2044,4755,1997,4688
967.0,2184,669,2216,673
968.0,166,2312,156,2245
969.0,1485,320,1485,347
970.0,189,3556,183,3461
971.0,198,775,168,702
